"Account Name","Website","Industries Trade","Industries Other","Products Self Reported","HS Code","Target Markets","Keywords","Billing Zip/Postal Code"
"Abatement Technologies","www.abatement.com","Building & Construction; Environmental; Healthcare","","Abatement Technologies is a leader in the design and manufacture of powerful abatement products. Our products reliably remove or help protect you from harmful particulates, bioaerosols and volatile organic compounds to improve your indoor air quality.","842139, 902620","Germany; Italy; Malaysia; Mexico; Spain","asbestos abatement, air duct cleaning, portable Air Scrubbers, negative air machines, mold abatement, fire and water damage restoration, and construction, negative pressure or positive pressure isolation rooms, IAQ, ICRA, VOC, CDC, containment.","30024"
"Advance Industrial Wireless Technologies and Solutions","https://aiwts.net/","Agriculture; Building & Construction; Business Services; Energy; Environmental; Food & Beverage; Manufacturing; Mining; Pharmaceuticals; Technology","Oil and Gas and automation, instrumentation and IIoT / SaaS solutions","","","Cuba; Singapore; Taiwan; Viet Nam","wireless instrumentation, IIoT solutions, open source PLCs, SaaS, engineering services, etc.","30180"
"Aerographs Aviation Photography","www.aerographs.com","Aerospace; Defense; Logistics","","Creation of custom photography and video for the promotion of products and services in the aviation, defense, and logistics industries.","","","advertising photography, corporate photography, editorial photography, video production,","30084"
"AeroSafe Products, Inc","www.aerosafe.com","Aerospace","","AeroSafe Products is a global distributor of environmentally friendly aviation consumables, as well as lines of aircraft engine wash equipment, engine wash capture systems, and aircraft onboard water sanitization systems.","282890, 340399, 340290, 401610, 340290","Argentina; Malaysia; Oman; Spain; Sweden; Taiwan; Thailand","Purogene","30093"
"AGRI International LLC","http://www.agrillc.com/","Food & Beverage","","AGRI International is an exporter of US origin commodities. we export :
1- Fats and vegetable oils
2- Grains and Nuts
3- Frozen Poultry
4- Vegetable oils under our Fresco Brand for food service. 
5- We offer consolidation of US brands for export","","Algeria; Bahamas, The; Barbados; Belize; Brazil; Egypt; Israel; Mozambique; Pakistan; Palestinian Territory; Philippines; Puerto Rico; Saint Kitts and Nevis; Saint Lucia","Soybean Oil, Canola Oil, Peanut Oil, Corn Oil, Soybean Meal, Soybeans, Corn Gluten Meal, Corn Gluten Feed, Yellow corn, Soybeans, Medium grain rice, Mayonnaise","30339"
"ALBAform","www.albaform.com","Manufacturing","Automotive","","73262000","","Forming, welding, assembly, metal components, interior parts, automotive, seating, weldments, agriculture , rigid busbars, e-mobility.",""
"Americo Manufacturing Inc","www.americomfg.com","Manufacturing","","Established in 1969, Americo is one of the largest floor pad manufacturers in the world.  We pride ourselves on our high quality, reliability, and excellent customer service.  Our products are sold in all 50 states and in over 70 countries.","680530, 591190, 560394","Bulgaria; Croatia; Estonia; Hungary; Indonesia; Italy; Kazakhstan; Korea, (South) Republic of; Morocco; Portugal; Qatar; Saudi Arabia; Slovakia; Slovenia; Spain; Taiwan; Tunisia; Turkey; United Arab Emirates; United Kingdom; Viet Nam","Floor pads, diamond pads, hand pads, mats, cleaning accessories, high loft non woven material, filter media","30101"
"Amexsa Corp.","www.amexsacorp.com","Agriculture; Food & Beverage; Healthcare; Medical Devices","","Amexsa Corp is one of Georgia's growing Export Trading companies supplying groceries, meat, poultry, health& beauty, over the counter medicines and medical disposables. We export to a select group of countries around the world at very competitive prices.","425120, 424990","Brazil; Canada; Colombia; Cuba; India; Jamaica; Japan; Kuwait; Mali; Mexico; Niger; Oman; Pakistan; Philippines; Qatar; Rwanda; Sierra Leone; Thailand; United Arab Emirates; Viet Nam","Amexsa Corp is one of Georgia's growing Export Trading companies supplying groceries, meat, poultry, health& beauty, over the counter medicines and medical disposables. We export to a select group of countries around the world at very competitive prices.","30004"
"Atlanta Global Resources Inc","http://www.aglantaglobalresources.com","Agriculture Machinery; Building & Construction; Business Services","CONSULTING","Company sells U.S. made goods and services manufactured by other companies like HP for printing press, hospital equipment, railway locomotive","3231, 9983, 8423","Ghana; Nigeria; Senegal","CONSULTING","30084"
"Atlantic-Pacific Agricultural Company","www.atlantic-pacificag.com","Agriculture; Agriculture Machinery; Chemicals; Environmental; Manufacturing","","We specialize in agri-chemicals applied to plants, seeds and soil to maximize growth performance potential. APAG has more than 20+ years of experience in manufacturing.  Products include; adjuvants, foliar fertilizer, tank cleaner and water conditioner.","382490, 310520, 283531","Argentina; Bolivia; Brazil; Canada; Chile; China; Costa Rica; Dominican Republic; Ecuador; Guatemala; India; Mexico; Panama; Philippines; Puerto Rico; United States","Adjuvants, foliar fertilizer, tank cleaners, water conditioner, slow release agents, agricultural crop protection chemicals,  agricultural chemical manufacturing, Hook, Micropac, Work-Horse.","30269"
"Aventure Aviation","www.aventureaviation.com","Aerospace; Defense","","We offer the sale, exchange, and lease of commercial aircraft parts as well as component maintenance, repair, and overhaul support. We specialize in C130, F15, F16, Bell, Boeing 737, 757, 767, 777, and Airbus A320, A330, and A340 parts and services.","88031000, 88032000, 88033000 and 88039090","Algeria; Brazil; Denmark; Egypt; Greece; Israel; Saudi Arabia; United Kingdom","C130, L100, F15, F16, Airbus, A320, A330, A340, Boeing, 737, 757, 767, 777, Embraer, ERJ 135, ERJ 145, Bombardier CRJ 100, CRJ 200, aircraft spare parts, aircraft component, repair, overhaul, maintenance, aircraft parts lease,","30269"
"Averr Aglow","averraglow.com","E-commerce","","Averr Aglow is a brand, manufacturer, and distributor of cosmetic products, personal care products, and other consumer packaged goods. Namely skincare topicals like creams and lotions.","3304","Canada; Ireland; United Kingdom","Beauty, cosmetics, acne, sensitive skin, preventative aging, vegan, cleansers, clear skin, cystic acne, hormonal acne, wedding, breakouts, glowing skin, natural skincare, clean beauty, sustainable, conscious beauty, safe, cruelty free skincare, non-toxic","30096"
